2024-01-10|09:15:00|groceries|Walmart|85.50
2024-01-15|14:30:00|rent|Apartment|1200.0
2024-02-05|11:45:00|gas|Shell|45.25
2024-02-20|16:10:00|invoice|Alice|500.0
2024-03-01|08:00:00|coffee|Starbucks|6.75
2024-03-12|19:20:00|dinner|Chili's|42.10
2024-04-18|13:50:00|invoice|Bob|900.0
2024-04-25|10:30:00|subscription|Netflix|15.99
2023-12-01|07:45:00|salary|Job|2500.0
2023-11-22|18:00:00|shopping|Amazon|120.75
2022-06-14|12:15:00|invoice|Alice|700.0
2022-07-30|20:40:00|travel|Uber|25.60
2021-08-09|09:25:00|groceries|Target|95.30
2021-09-17|17:55:00|invoice|Alice|1100.0
2020-10-05|15:10:00|rent|Apartment|1000.0
2020-11-11|11:11:00|shopping|BestBuy|300.0
2026-05-01|08:52:44|gas|coffee|-7.0
2026-05-01|08:53:36|gas|food|25.0
2026-05-01|08:54:10|gas|food|-30.0
2026-05-01|09:01:01|order|amazon|400.0
2026-05-01|09:01:29|netflix account|netflix|-100.0
2026-05-01|10:07:17|movies|netflix|40.0
2026-05-01|10:07:41|account|amazon|-400.0
